Source,Organisation,Rating,Date,Review_text
Mouthshut,Amity University,1,"[' Dec 14, 2017 ']",Hi friends I am a student of this University from last 4 years I want to tell you about something regarding this UniversityI a person or a student what to study  not take admission in Amity University I listen adds on radio  newspapers and I take admission on the basis of adds but I do a blunder our selves it is not an institution it is like a cimena the full e joyment is here and and no any one is intrested in study because of lack attention of professors  towards study  it is total wastage of money and timeI got scholarship and register himself after a couple of years they demand me for University fee I have on scholarship I tell him that but they tell me that the human resource ministry are fail to submit your feeAfter that I confirm from the deptt.they give me no any positive response and now I deposite my fees personally because I am well settled  and do my future dark the administration of the University are not willing to teach student they are only follow material please think  before take admission im this University
Mouthshut,Amity University,1,"[' Nov 30, 2017 ']",Hello friends toady my opinion about the amity university amity university just pay attention on marketing I had the same experience my sisterGot admission in amity university in case he would get placement the after his education but in reality they just take the. Huge amount from fee and the company would be come form placement. Comes and offers but the company gives the job form only 6 monthsIn case my friend raise the voice and the AmityUniversity said that take garuntee of only 6 month after the company will be taken or not
Mouthshut,Amity University,1,"[' Nov 28, 2017 ']",This collage  is not for study its for enjoyments everg one goes here just to hang around not to study and getting pass is a piece of cake which is not the ideal education system should be so this things shoukd be changed administration is nice but they demand high money and at the time admission.extra curricular activities are good but that is too unnecessary not giving high infacis to education .colz should be fun but not like ammity they just give u easy to passAlumni network  is good because sheeting plan and attendance check online And all thing's check result this college are Fake for money and other universities are its compression better and high fee amount so this not good University thanku
Mouthshut,Amity University,2,"[' Nov 24, 2017 ']","I have faced a lot of problems in Amity from the very starting of the course. For each and everything I had to sent a lot of queries. Because of their irresponse I have faced a lot of problems in my results. For that I had to spent a lot of extra money for their faults -course extension, assignments submission link. By then I just got fed up with Amity. I think it was a great mistake to take admission in Amity. Now in June 2017, I wrote my semester -3 MBA term exams. I am unable to view my results. When I complainted they said, they will update with semester-4 results. I just need to know my results right now.And moreover synopsis link is not activated until last submission date, they told  me to take course extension, why should I pay extra money for your faults, it is such a ridicoluos behaviour.For Dec-17 exams, there are only two centres in Delhi/NCR, both are full. Could you guyz please provide any contact number that can be pick up by your any executive as I have tried number of times, no one picks the call. Even I will not suggest anyone to take admission in Amity."
Mouthshut,Amity University,1,"[' Nov 22, 2017 ']",Amity university  just pays attention on its marketing.  I HAD a same experience my friend got admission  in AMITY university thinking that he would get a placement after his education but in reality they just take a huge amount of fees from you and the company who come for placement comes and offers a job but that job is just for 6 months.When my friend raise the voice against it that amity said that we take  garuntee of only 6 months after that its on company whether they want to keep. You or not.It is like they take 14 lakhs fees and return your 3-5 lakhs as job.Fraud amity fraud.
Mouthshut,Amity University,5,"[' Nov 17, 2017 ']","I want to tell you all that I was the student of this excellent university. I  have govt. school background .so my communication skills and personality was so normal that when I was giving the the interview respected faculty was saying that u have good marks thats why we are selecting u otherwise by personality u r not eligible here. But that something have changed my life.Now I am graduated from Amity and working in vipro and earning 70, 000 ₹ per month. Thats the difference. Love my University .proud to be amitian.?????"
Mouthshut,Amity University,1,"[' Oct 07, 2017 ']",I am still amity student. One of the most common problem of this university is 'attendance'. When I was very sick they did not give attendence and only 4 absent in 1 credit course made me debar in one subject and I was not abel to apper the exam of the paper. They provides good food when new admissions open. If you will enjoy in corridor they punish you if they will not have good mood then they can suspend you.
Mouthshut,Amity University,5,"[' Aug 19, 2017 ']",AMITY University is the no 1 private university founded by Dr ashok chauhan.The university follows UG regulations which is excellent in academic programs such as Study abroad program in which any student can take part.Amity has higher and secure administration.The university also celebrate extracurricular programs such as sangathan which help students to play sports  with other universities.Amity also have a friendly alumni network which invite alumni to their amity to celebrate their alumni day.
Mouthshut,Amity University,4,"[' Aug 03, 2017 ']","Hello it's my review on Amity University. As in India more than thousands of universities are now available for students to for the higher studies. But Amity University is also a best option to choose and to go for their higher studies. There is well maintained university campus, Boarding facilities, good infrastructure, Highly qualified teachers and well maintained AC classrooms are here available. students can opt for B.E/BTech. , MTech. , MBA , BBA , BCA as their opted branch field  And they will give 100% placements to its eligible students. it has multi campuses such as Kolkata , Mdhya pradesh , Gurgaon Delhi NCR , Mumbai.  Then you can choose any of the campus and go to bright your future with Amity University System."
Mouthshut,Amity University,3,"[' Jul 24, 2017 ']",Hello friends my friend recently studying in Amita University she's a very happy that she is a part of Amit University they offer multiple placement to their student and also multiple career option student are provided with all facilities it is a very fully air conditioned campus teachers are also carrying also Amity University has many Piston and student I will surely recommended Amity University for you all student and friends.You can just visit this college university and Amity University has been installed by act of nation legislature and also clone buy University Grants UGC through the act of PSTET lega street light Amita has worldwide publicity that's why has TY us with over hundred universities Laboratories it's all about very good for student
Mouthshut,Amity University,4,"[' Jul 15, 2017 ']","AMITY is the leading training organization of india and really enthusiastic about grooming leaders who are not through experts but also suitable humans with sanskars and ethical values.AMITY university has been installed by an act of nation legislature and known by university grants fee UGC thru the act of state legislature.AMITY has a worldwide publicity that s why amity has tie-u.s.with over a hundred universities and laboratories. simplest the best college students get the admission in amity for instance very constrained students are handpicked out of over 150000 applicants . final interview panel includes company leaders.closing but no longer the least AMITY college has everything in itself like, exact characteristics research, top placement facilities, top and easy surroundings for better research, interaction with industries for realistic matters, full of technologies, properly certified schools for the students and existence at AMITY for the scholars is an area for full of understanding and full of enthusiasm."
Mouthshut,Amity University,1,"[' Jul 14, 2017 ']",The university is not good as they show .This is the only name they dont provide any good facilites they are not having ant good equipment as they show many friends have been there its just weast of time to be there campus is not good faculties are not good here I tell you that if you want to join the. Dont join it.
Mouthshut,Amity University,1,"[' Jul 12, 2017 ']","Being an ex student of this college I am not liking to review it but I want all to know the reality.For the Students:If you are really concerned for your career, do not head forward to Amity. All it knows is to make money. They even charge for the degree they give you at convocation.Talking of study, there is hardly anything to talk!I waited for almost an year to get my security deposit back that too I got by threatening them!There is no deadline to give the money but for taking money there is definitely a deadline!There are no youth activities, not even a college fest ( Amity Jaipur)For the Parents:Save your ward's future!"
Mouthshut,Amity University,5,"[' Jul 10, 2017 ']",It is one of the best universities it has taught me many things it has trained us in all aspects of life it was the sponsorship that this was one of the best universities it can be resolved through and this is like for the foundation of this world its one of the best.My suugestion is that everyone shoupd apply for this university.
Mouthshut,Amity University,4,"[' Jul 06, 2017 ']","The amity university is a great university for the student's.Many academic programs are held in this university such as all branches of engineering, management related courses, art's courses & degree of law.The administration of this university is good.Every kind of facility is provided to the students.Hostel facilities are available.Bus facilities is available.The university different kind of programs relates to drama, dance, sports etc.They also organize self development programs for candidates.There are many branches of amity in india, andhra pradesh, Chhattisgarh, chandigarh, Delhi, Bihar & jammu & kashmir."
Mouthshut,Amity University,2,"[' Jul 05, 2017 ']","Guys If you have a lots of bucks in  your pocket and want to waste then this is the best place for you guys. its true they have a big campus, name  and fame but what they dont have is education and knowledge. the student who took admission in this clg either they want to waste their time, their parents have lot of money or the students who took adm. and stuck.They have more than 20 campus and international campuses also they have more of extra curiculium activities thats true but in term of education and its value Zero on the ground.They have good placement record because they charge lot of money from the student and they have to be placed but after couple of months these student got fired or left the job.Think before taking admissions"
Mouthshut,Amity University,4,"[' Jul 05, 2017 ']","Amity University has a world wide designation with billions of students passing each year.Amity is a multi campus private University elaborately saying  Amity University has many branches all over the world.My brother studying in Amity Kolkata .Its popularity has always been in a different level.In India best branch of Amity University is Noida for B tech degree.It allows students to take part in different extracurricular activities. It provides students great transport facility of bus(with A.C).Amity  has shown great efficiency in college hostels for boarders who came from home and started boarding in hostel for first time, providing security and hygienic food to every student is a tough job for the hostel department."
Mouthshut,Amity University,2,"[' Jul 01, 2017 ']","I am curently persuing a masters program in automobile engineering, though AMITY gives you a lot of options tofollow your dream program but still the University seems to be only a research based.As the University claims that it holds many patents under its name, you will find yyourself good if you want to join the university for the purpose of research or if you want to file any patent or if you have any good idea and you just need some help from the experienced faculty in the same program, but if you are a person looking for just getting a job out of this university then I am sorry folks, you going to be very disappointed on that behalf.Though I am a research driven person, so far I am liking the university but I dont recommend this university at all for any other person as matter of fact that everyone looks for a placement and that's just not what university provides."
Mouthshut,Amity University,3,"[' Jul 01, 2017 ']",Hi Friends I would like to tell u about Amity University is a multi campus private research system.1.The University additionally operates Amity buisness school and law school in its name.2.it has 4500 staff and all are more cooperative and have good bonds with student.3.This university has 10 loctaions in india and 8 international locations in Abu-Dhabi.Amity university was ranked in 195 in asia by Qs world ranking by 2016.4.it was ranked in 72th in indian by Career360 ranking.5.Amity university online's MBA is EFMD CEL accredited.6.Amity university is accredited by KHDA bt Government of Dubai.Amity university dubai is the branch of amity university in india and offered UGC recognised degrees.8.Markandey katju former justice of supreme court of indian is the notable alumini of amity university.9.Akshay yadav is the politician in india is the alumini of this wonderfull university.10.its infratstructure and carrer counselling programm held in the university also.
Mouthshut,Amity University,5,"[' Jun 24, 2017 ']",I think this is the good university in private.faculty in this institute is good and also supportive.academic programms is nice in amity universityif you are a rich and pay a 4 lakh to 5 lakh per annum in a college the this college is for you.srm University and vit is also good but my cousion is studying in amity so I know the value of the amity University.in extracurricular activities this college is nice.campus is very good really so nice campus I love it. library is so good classes arw also very good.
Mouthshut,Amity University,1,"[' Jun 21, 2017 ']","The Amity University is not good university  .i leave my study after 2nd year . Really I don't like this university .Because , the quality of education and embience of this collage is very bad . Really guys the quality of its education is very bad and embience is not fresh .And the techers and staff of this university is not well skilled and very uneducated faculty .And the seniors of this collage is not friendly . Really guys , the attitude of seniors is not friendly . And this collage is very dirty brcause very garbage are available in maximum place . .Really guys very bad university ."
Mouthshut,Amity University,1,"[' Jun 16, 2017 ']",Hi friends I am going to share the experience of my brother who is reading in Amity University . Friends this university is only for rich kids the fees that they are way beyond the reach of a common family also the courses they they offer are not professional once a student completes course in amity there is no other scope left for him . For common courses thr fees chargeable is very high. In comparison other university charge less fees and offer good courses . There is no all round development in a student in this university . No proper classes are conducted and the teaching faculty are also not highly qualified . In short amity is just doing a loot in the name of education . The placement cell is very bad and there is no alumni network in this university also the administration does not work properlyFriends therefore I would suggest you to stay away from this university
Mouthshut,Amity University,5,"[' Jun 15, 2017 ']",Amity University is the leading education group of india with over because this is top University who give you all feature and all facilety . the Amity University student is a good student because they give good education on this University so friend make your good career start from Amity University and find Bright future.  the Amity University has been established by an act of state legislature and recognized by university Grants commission through the act of state legislature. this University only focus on student career.
Mouthshut,Amity University,4,"[' Jun 14, 2017 ']","Hi guyz this is Raj, I explore Amity University as Indias #1 among all technical university.All the branches of this university have a good infrastructure and better educational enviornment.This have highly modified digital classroom and better campus placement all over India.Biotechnology is the most famous trade of this university and rest all courses offered are also quite highly managable and thus it explore their students in all fields."
Mouthshut,Amity University,4,"[' Jun 14, 2017 ']","It has many branches and the best uniform I have see in students .the university is huge are only for the high grade students and the teacher and professor teach very well using also smart class using tutorial demo is given to studentswith this student study well and many courses are there go to for it.Educational standard is improved a lot with now many companies are now coming for recruitments the student are also know talking initiative designing new machine and software .but the fee structure is quiet high, which resists many student to apply here.A big and Good infrastructure, almost all accommodation  there for studentbut fees is sometimes concern for a student is too much an other college .if you have a good amount of cash, then this university for you."
Mouthshut,Amity University,4,"[' Jun 11, 2017 ']",I was the student of this university. I learnt a lot from this campus. It is a great campus for learning and earning. The faculties and the staff members of this university are very supportable. When I talk about the infrastructure of this university is really awesome. This university is also known as Green university in entire Amity campus. The good thing of this university is the Military camp. In this campus each student gets trained of Military.
Mouthshut,Amity University,3,"[' Jun 08, 2017 ']","I dont know about the other campuses of amity  bt life really sucks when it comes to the jaipur campusIn india education has become a buissness I know rhis very well because I m a student of amity university and most of the indian college going students know that for what amity is famous forThese people are making amity in every dtate of india bt the reality is that out the placements then u would see that reality is they want maximum amount of students, no matter that they are having the resources even to fullfill  the requirements of galf of the university they are making more abd more campuses because they need more and more students"
Mouthshut,Amity University,3,"[' May 30, 2017 ']",The amity university which id expanding its brand all across the country from every passing year is transforming the education in the country with starting from the noida that still remains the sole only best to feature on the top 100 of the engineering but expanding it's brand to 8 universities throughout the country as claimed by the authority or so. The university also open it's university brand in kolkata in 2014 with the passage of the west bengal private university act and after that with the same time also opened it's branch university in jharkhand. With lot of exploring options it goes on to provide all academic programs and with lot of extracurricular activities but all coming at a cost to really think of and the training and other foreign trips for study and programs are alone costing about 8 lakhs at the 3rd year of the engineering. With the administration being too secretive about all the things from taking money for the management quota and all the other financial matters but though being trying to be innovative and exploring they are of course commercial minded. With no notable to look out for at one go alumni and an really expensive course it's really stands as a burden to the middle class students and their families and therefore not to go on account of value for money as after spending a hefty amount of 16-20 lakhs it's not worthy to get a job placement average with 3-4 lakhs ranging generally.But again to say with all these if you have money to really not count on and is ready to invest on knowing the returns than you can surely go for it.
Mouthshut,Amity University,5,"[' May 29, 2017 ']",Hello reader I was going to amity school for my friend admission I was seeing the college and college will very large in land. the admission progress will done succesfully and as fast as possible. the college condition is very good . the teacher of college is very intellegent and polite in nature . teacher help student to study well and make its future . the college gauranted the placement of good students so guys please take admission in amity universityTHANK YOU
Mouthshut,Amity University,4,"[' May 29, 2017 ']",Amity University is the fastest growing pvt. University in India amity is count on the top universities india.Amity university campus are very big and there are so many facalities are available.Amity university is situated in jaipur. Amity university take good placement for engineering students.
Mouthshut,Amity University,5,"[' May 24, 2017 ']",Friends i'm student of Amity university this university is awesome in every thing. This univerdity administration is very strict about their students here avery single matter is handled very seriously in college or in Hostel. This university always organises extracurricular programs like seminars etc to grow the knowledge of their students . When your session is going to finish the university organizes campus placement where you can get very good job in very attractive packages. Study and faculty is also fantastic.
Mouthshut,Amity University,4,"[' May 21, 2017 ']",Hi friends. Today I am here to review amity university. My friends are studying in this university. They are studying in noida. A very popular university among all the universities for mba.btech.bba.etc. This college gives a good exposure.The college is very well organised.full of good members and highly dignified ones.they all are with  full of manners. It is involved in many programes.like extra co-curriculam activities.which makes the student good enough and gives a good exposure to them.High profile people are associated with such colleges.the placement is very good.only thjng is that it is bit expensive university.Thanks.
Mouthshut,Amity University,4,"[' May 20, 2017 ']","Stereotypical Amity University is ""a private university that would give admission to just anybody irrespective of the results, just to earn money""Being a student of amity university and having a lot of friends who applied for admissions here and some of who couldn't get through, I can tell that the opinions people have about the university are just stereotypes and completely baseless. Amity happens to be a university that gives great exposure to students in all fields, especially the professional ones. I am a product design student, and this is a new course, we being the first batch. The amount of experience and exposure we have gathered in just one year is way superior to that offered by any other design college, I'm sure. The faculty is A1, and if anybody is willing to attend college every single day and learn, Amity is a great option."
Mouthshut,Amity University,1,"[' May 17, 2017 ']","First of all stop saying its India's no. 1 non profit University. The most fake ads in all reputated channels. The campus is good, infrastructure also well constructed. If u money is not the factor for u, then its the place u dream for. But u have to maintain your attendence above 75% otherwise letter to be posted in ur address. But hostel rooms are dingy and very untidy, washrooms are pathetic. Unhigenic food in canteen. If u not living around Gomti Nagar and on that if u dont have a personal vechile u going to have tough time. Apart from that the Malhaur railway crossing is going to obstruct u atleast 30 min a day and in the pick hours even more. So choose ur University wisely. I have been graduated more than a year, still not got my security money."
Mouthshut,Amity University,1,"[' May 11, 2017 ']","I was interested in doing banking and finance from amity university, Gurgaon believing that it will improve my skills going forward but when I inspected about the institute from my sources I was surprised to see that amity provide only 2.25 average CTC to its mba graduates. as we know it takes around 12 Lakhs to study in amity university and its not worth it as we are not getting a good CTC after doing MBA from amity university, so its better not to opt for amity university."
Mouthshut,Amity University,2,"[' May 07, 2017 ']",Amity university is the best university it obeisance of best nature aquatance it provides the a lot of opportunities for future generation and also fulfills the students dream in a successful manure it consists of best faucalties with the best experience and also consists of a lot of infracted methods it involves peaceful environment and also better placement criteria the students who are competing the specified courses in amity university acquiring the better packages it fulfils the students dreams in a extraordinary way
Mouthshut,Amity University,5,"[' May 05, 2017 ']","Amity University is the best university for the students specially for the students of Computer science, IT and MBA programs. Amity Noida provides best teaching as compare to other branches. there Academic Programs are divided into different institute. Most of the engineering department comes in ASET. the inter-department game competition is known as Sangthan which held every year. there are few others things are there for student enjoyment apart from study like Star night and Amity Youth Fest."
Mouthshut,Amity University,1,"[' May 01, 2017 ']","I had been the part of Amity university weekend program(M.Tech. CSE Wknd) 2015-2017 and found this program a complete failure. Being a working professional, you want to get really up to date curriculum for all the subjects covered. However, this wasn't the case there.In case you are not in town due to some official visit and your exams fall in that duration, university should be flexible enough to shift the exam dates in such cases especially for working professionals. Unfortunately, it wasn't the case there.For all small things that can be done online, you are required to visit the university premises e.g. for fee submission, you has to be there in university.Below are few highlights that warn you before taking admission into Amity University's weekend programs-obsolete course content. However, they claim it's updated as they still live in 20's:)lack of quality teaching. Faculties are not up to date as per the current market trends.no flexible exam timings for working professionals. If you cannot attend the exam, you'll get failed.75% attendance is must to appear in the exam for working professionals also. If you cannot attend the class due to some official reasons, it won't be considered.for all trivial things, you need to visit university premises during weekdays. Obviously, you need to take leave from office for the same. University staff is not ready to understand that as all the staff is available on weekdays only.Most of the administrative staff is from Ex. Army professionals. They don't understand the difference between ""Full Time"" and ""Part Time"" programs and want ""Part Time"" students to be available any time they want.Even if you've enrolled for weekend programs, you are required to read ""news boards"" regularly. e.g. Last date of fee submission was changed and notice was put down on notice board. All weekend students could not read this info as they don't get time to read the notice board regularly. Late fee submission penalty was applied for such students. Again, typical Army personnel's monopoly."
Mouthshut,Amity University,4,"[' Apr 28, 2017 ']","Amity University is one of the best university for higher education in terms of many parameters.Amity offers a number of courses for the students including B.tech, Bio-tech, M-tech, B-pharma, BBA, MBA, Hotel management, Fashion technology, etc; . and the professors are also highly experienced.In comparison to other deemed universities the fee structure is much reasonable and even the student gets scholarships of semester fee waived off if he/she tops in the exams.Coming to - value for studies and placement, amity is very supportive and always manage to place all its students to good organisations at suitable profiles.Amity University is rightly said to be India's largest private university in all respects."
Mouthshut,Amity University,5,"[' Apr 28, 2017 ']",AMITY UNIVERSITY IS ONE OF THE TOP MOST UNIBETSITY IN INDIA.THE COURSES ARE VARIOUS IN THESE UNIVERSITY WITH PROFESSIONAL TEACHERS.THE TEACHING IS EXCELLENT. AMITY UNIVERSITY IS A TRUSTED UNIVERSITY WHICH GIVES THE GURRANTY OF JOBS WITH HIGH PAID.AND THAT MAKES IT BETTER. THANK YOU TO AMITY UNIVERSITY.
Mouthshut,Amity University,3,"[' Apr 25, 2017 ']",Amity university is one of the best university of india.The academic Programs of this institute is very high for study. This is known for his better study.The Adminstration of this college is so educated and well.There are many extra curricular activityan progams for students for taking fast growth of student.The alumni network is so power. This university has give good results.This university gives brightness in student's career.
Mouthshut,Amity University,4,"[' Apr 23, 2017 ']","Hi guys, This is Pinak from Amity University Kolkata, which has started in the year 2015 and we are the first MBA batch of this University. I am very happy to share with you guys that it is one of the best decisions of my life. the sad part is I am passing out this year 2017. the best part of this university is the set of faculties it is having, truly brilliant  and the lucrative campus in rajarhat. apart from that ample number of programs offered in this university and various extra curricular activities which keep on take place throughout the year. I am proud to be an AMITIAN."
Mouthshut,Amity University,3,"[' Apr 23, 2017 ']","Hello, everyoneI know you heard the name of this college. If u don't then I want to tell you this is far best college. Some of my cousins are from this college they get good placements and talk about their amazing  experience in this college. They learn and meet amazing faculty those are ready to give their best. Annual function and many more activites are always going in this college through which you get a chance to meet new people as well celebrities also( most amazing thing) .I suggest eveyone to think about this college once before taking addmission anywhere else."
Mouthshut,Amity University,3,"[' Apr 20, 2017 ']","Amity university very famous name in field of enginerring, Medical as well as simple graduation.Academic program they offered have every course from enginerrring field to medical.A thousand of student make admission in amity university, Noida, every year.frankly I tell u one thing that administration is best from other engineering institute.because they charge a huge fee on you and that is ur fee that make them to build a good administration.yes, this is right place for extracurricular program .you have a variety of option to choose from their program if you are a beginner.Alumni, on this point truth of amity is revealed, they charge a huge fee to u but on case of placement they offer u zero.There is only your chance if you are their best of best of student.so there is no much placement, so no alumni.on my opinion I advice u only for this institute if u have rich parents and u want a world class system."
Mouthshut,Amity University,5,"[' Apr 20, 2017 ']","Hlo guys topday I m telling about Amity University Jaipur.The university have large place in Amrity University set here in jaipur .Amity University have very good teachers and all staff very hlepful to student and they are friendly realtion with all student this is very good for Amity University . The University have very good class rooms and very good benchs to siting student for attanting the leacture .The Amrity University  have good high quality ground with included all game in Amity University. The university give chance to student play for national games and the students make a very good life in suscees of hin game this is very good opercuantiy for all students.The Amity have maximum number of courses and progames gives to student if student choose a according to his sutdy what coure is best.The university have very good network and his network and name his make a wornderful a very good university to studying all type of study like Tech, Medical , etc many more .I give advice to all . You need a very good university and bright your feature take addmison in Amity University .Thanks ."
Mouthshut,Amity University,3,"[' Apr 15, 2017 ']","This is one of the best university in india.It has a big capus area.it got indian aducation reward on 2014.It is the infia's best research university.It has very friendly faculty members, who are always ready to help the syudent.student have acqired a lot of confidence by the vaious plat form provide by the college, such as  sangathan, youthfest etc.About 800 patents filed by the faculty in the last year.It provides top placement in all streams.300 government funded research funded carried out by the faculty.Life in amity is breathtaking experience.join now and experience a good education."
Mouthshut,Amity University,3,"[' Apr 13, 2017 ']",Amity university is one of the largest universities in india. It has so many campus all around the India. There are large number of courses available you can choose from. As they have branches all over India so you can choose from your nearest branch. Thousand of students placed every year all around the world.
Mouthshut,Amity University,5,"[' Apr 12, 2017 ']","Amity University is one of the best University in India having various branches in all over India as well as outside of India. This University is very popular with outstanding facilities for students such as very good infrastructures for academic lines, studying, multi-campus placement, execellent faculties with their rich knowledges, well furnished R and D labs for research scholars and students."
Mouthshut,Amity University,5,"[' Apr 07, 2017 ']","Amity University is a leading education group of India. An Excellent University included in India's top ten most popular private university, situated in best location i.e. Mumbai, having good infrastructure, best atmosphere & huge campus with 24 years management education experience. A person can make its best career by improving knowledge & personality from this university.  There is Good supportive staff & Good process of online exams. Various students get placement in Multi- National Companies with attractive package."
